Timestamp,Open,High,Low,Close,Volume,SMA_10,RSI,BB_Upper,BB_Middle,BB_Lower
2024-12-24 16:59:00,465.13,465.35,465.13,465.21,9994,,,0.0,,0.0
2024-12-24 16:58:00,465.01,465.19,465.0,465.11,3942,,,0.0,,0.0
2024-12-24 16:57:00,465.2,465.23,465.0,465.01,8362,,,0.0,,0.0
2024-12-24 16:56:00,465.05,465.3,465.0,465.15,5498,,,0.0,,0.0
2024-12-24 16:55:00,465.12,465.19,465.0,465.09,7761,,,0.0,,0.0
2024-12-24 16:54:00,465.3099,465.35,465.0,465.17,4947,,,0.0,,0.0
2024-12-24 16:53:00,465.35,465.4,465.11,465.26,4894,,,0.0,,0.0
2024-12-24 16:52:00,465.21,465.4,465.2,465.4,4175,,,0.0,,0.0
2024-12-24 16:51:00,465.13,465.28,465.12,465.28,6890,,,0.0,,0.0
2024-12-24 16:50:00,465.0999,465.13,465.05,465.13,6044,465.1809999999999,,0.0,,0.0
2024-12-24 16:49:00,465.08,465.15,465.02,465.05,2531,465.16499999999996,,0.0,,0.0
2024-12-24 16:48:00,465.03,465.2,465.01,465.0799,1971,465.16199000000006,,0.0,,0.0
2024-12-24 16:47:00,465.045,465.09,465.01,465.03,3099,465.16399,,0.0,,0.0
2024-12-24 16:46:00,465.065,465.1,465.0,465.05,1387,465.1539900000001,41.61843488670895,0.0,,0.0
2024-12-24 16:45:00,464.95,465.14,464.94,465.0112,2812,465.14611,39.33844355883078,0.0,,0.0
2024-12-24 16:44:00,464.95,464.97,464.88,464.95,2439,465.12411000000003,35.98936020115312,0.0,,0.0
2024-12-24 16:43:00,464.89,465.0,464.88,464.95,1686,465.09310999999997,35.98936020115313,0.0,,0.0
2024-12-24 16:42:00,464.89,464.9412,464.82,464.86,1264,465.03911,31.426242274575515,0.0,,0.0
2024-12-24 16:41:00,464.82,464.9,464.82,464.82,1910,464.99311,29.628219122143037,0.0,,0.0
2024-12-24 16:40:00,464.84,464.9,464.8,464.85,1298,464.96511,32.736554572195715,0.0,465.073055,0.0
2024-12-24 16:39:00,464.97,465.0,464.8,464.8,3205,464.94011,30.331850291196545,0.0,465.05255500000004,0.0
2024-12-24 16:38:00,464.95,465.0,464.92,464.96,702,464.9281199999999,44.40520159330197,0.0,465.04505500000005,0.0
2024-12-24 16:37:00,464.92,465.06,464.92,464.95,1207,464.92011999999994,43.80954399542482,0.0,465.042055,0.0
2024-12-24 16:36:00,464.98,465.06,464.9,464.975,708,464.91261999999995,45.76812767038414,0.0,465.03330500000004,0.0
2024-12-24 16:35:00,465.15,465.1819,464.9,464.9,4213,464.90149999999994,41.13574067938397,0.0,465.023805,0.0
2024-12-24 16:34:00,465.16,465.2,465.12,465.15,791,464.92150000000004,56.82327829460078,0.0,465.02280499999995,0.0
2024-12-24 16:33:00,465.17,465.22,465.12,465.19,3382,464.9455,58.718930676780175,0.0,465.019305,0.0
2024-12-24 16:32:00,465.15,465.22,465.15,465.22,3883,464.98150000000004,60.13267879076039,0.0,465.01030499999996,0.0
2024-12-24 16:31:00,465.18,465.21,465.1,465.16,4381,465.0155,56.001841515475434,0.0,465.00430500000004,0.0
2024-12-24 16:30:00,465.08,465.2,464.97,465.182,2008,465.0487,57.16381035692151,0.0,465.006905,0.0
2024-12-24 16:29:00,464.88,465.2,464.81,465.0761,5156,465.07631000000003,50.280218645904206,0.0,465.00820999999996,0.0
2024-12-24 16:28:00,464.94,465.0,464.81,464.93,3214,465.07331000000005,42.64977757062108,0.0,465.000715,0.0
2024-12-24 16:27:00,464.855,464.94,464.8,464.94,972,465.07231,43.284218038954904,0.0,464.996215,0.0
